NAME,YEAR,THICKNESS_CHG
MIDTRE LOVENBREEN,2003,-4160.0
MIDTRE LOVENBREEN,2005,-3564.3333333333335
MIIGAIK,1973,-3610.0
MOLODEZHNIY,1998,-17333.0
MONTO MORO GL.,1946,-6020.0
MONTO MORO GL.,1956,-11500.0
MONTO MORO GL.,1967,-4900.0
MOOMAW,1964,-1100.0
MORENO,2000,-10500.0
MUD,2000,-51480.0
MUEHLBACHERBREEN,2002,-3360.0
MURAVLEV,1979,-454.54545454545456
MURAVLEV,1980,-714.0909090909091
MURAVLEV,1981,650.0
MURAVLEV,1982,-226.8181818181818
MURAVLEV,1983,-760.9090909090909
MURAVLEV,1984,-613.1818181818181
MURAVLEV,1985,-864.5454545454545
MURAVLEV,1986,-793.6363636363636
MURAVLEV,1987,-728.6363636363636
MURAVLEV,1988,-138.1818181818182
MURAVLEV,1989,-408.6363636363636
MURAVLEV,1990,-599.5454545454545
MURAVLEV,1991,-1663.6363636363637
MURURAJU,1999,-5000.0
N ELLESMERE ICE CAP,2000,-640.0
NABESNA,2000,-7310.0
NADAHINI,1966,-7710.0
NADAHINI,1968,-8420.0
NADAHINI,1970,-4510.0
NADAHINI,1972,-4483.75
NADAHINI,1974,-192.5
NADAHINI,1976,-5062.5
NADAHINI,1978,-4988.75
NATHORSTBREEN,1990,-24980.0
NAVAJO,1964,590.0
NEF,2000,-14000.0
NELCHINA,2004,-21600.0
NEREIDAS,1985,-5000.0
NISQUALLY,1956,7230.0
NO.31,2001,-10600.0
NORDENSKIOELDBREEN,1990,-17310.0
NORDENSKIOELDBREEN,2002,-1620.0
NORDFJORDBREEN,1985,-3778.0
NORDFJORDBREEN,2002,-2778.0
NORDRE FOLGEFON,1997,-7770.0
NORTH DAWES,2000,-120510.0
NORTH FORK TLIKAKILA,2001,-40920.0
NORTH HUBLEY,1994,-22590.0
NORTHEASTERN,1996,-84772.0
NORTHEASTERN,2000,-4890.0
NORTHERN PART,2002,-6333.0
NORTHEY,1987,-5900.0
NORTHEY,2004,-20700.0
NORTHWALL FIRN,1972,-32530.0
NORTHWESTERN,1996,-6440.0
NOVATAK,1996,-45333.0
NOVATAK,2000,-68640.0
NOVATAK,2007,-3356.0
NUPTSE,2007,-5800.0
O'HIGGINS,1995,-22700.0
O'HIGGINS,2000,-26650.0
OBERALETSCH,1957,-15600.0
OBRUCHEV,1960,-7870.0
OBRUCHEV,1981,-8365.0
OFHIDRO,2000,-13500.0
OLENIY,1981,-700.0
OLVIDADO,2000,-62500.0
ORDZHONIKIDZE,1998,-3333.0
ORIENTAL,2000,-13500.0
OSLOBREEN,2002,-660.0
PARED NORTE,2000,-27250.0
PARED SUR,2000,-29000.0
PASCUA,2000,-51750.0
PASTERZE,1981,-7200.0
PENGUIN,2000,-5150.0
PENNY ICE CAP,2000,-770.0
PERDIDO SUP,1982,-3620.0
PERDIDO SUP,1986,-4700.0
PERDIDO SUP,1990,-3100.0
PERDIDO SUP,1993,-4890.0
PERDIDO SUP,2004,-16150.0
PINGO,2000,-11250.0
PIO XI (BRUEGGEN),1995,18500.0
PIO XI (BRUEGGEN),2000,1500.0
PLACE,2005,37600.0
PLATTALVA,1959,-5000.0
PLATTALVA,1977,-5786.142857142857
POLYCHROME,1994,-8510.0
POLYCHROME,1995,-8500.0
PRINCE OF WALES ICE FIELD,2000,-440.0
PRINS KARLS FORLAND GLACIERS,1990,-34240.0
QUESHQUE E,1999,-5000.0
QUESHQUE SW,1999,-22000.0
RABOTS GLACIAER,1959,-16300.0
RABOTS GLACIAER,1980,-12400.0
RABOTS GLACIAER,1989,-2700.0
RABOTS GLACIAER,2003,-3900.0
RECHERCHEBREEN,2002,-2820.0
RECIO,1985,-5000.0
REICHER,2000,-30000.0
REID,1995,19322.0
REID,2000,6260.0
REMBESDALSKAAKA,1995,7560.0
RHONE,1929,-11070.0
RHONE,1959,-9300.0
RHONE,1969,-29119.04761904762
RHONE,1980,2780.0
RHONE,1991,-7880.0
RHONE,2000,-3730.0
RIKHA SAMBA,1994,-629.0
RIKHA SAMBA,2010,-4790.0
ROSENLAUI,2006,-61290.0
SABINEBREEN,2002,-2040.0
SALENCAS,1999,-4945.0
SAN QUINTIN,2000,-15000.0
SAN RAFAEL,2000,-3250.0
SARENNES,1981,-24222.0
SARENNES,1991,-3000.0
SARENNES,2003,-23777.5
SARY TOR (NO.356),1977,-8367.777777777777
SASKATCHEWAN,1967,-4911.666666666667
SASKATCHEWAN,1969,223.33333333333334
SASKATCHEWAN,1971,-6124.705882352941
SASKATCHEWAN,1973,-4277.64705882353
SASKATCHEWAN,1975,-3605.625
SASKATCHEWAN,1977,-2536.875
SASKATCHEWAN,1979,-4574.705882352941
SATSCHEN SANGO,1958,-5426.0
SATSCHEN SANGO,1987,-1413.3333333333333
SAWYER,2000,-51090.0
SCHLEGEIS K.,1950,-14210.0
SCHLEGEIS K.,1959,310.90909090909093
SCHLEGEIS K.,1969,886.3636363636364
SCHLEGEIS K.,1979,3036.5384615384614
SCHLEGEIS K.,1989,-5350.2307692307695
SCHLEGEIS K.,1999,-9226.307692307691
SCHLEGEIS K.,2009,-6886.652173913043
SCHNEEFERNER N,1949,-30780.0
SCHNEEFERNER N,1959,-6800.0
SCHNEEFERNER N,1971,-960.0
SCHNEEFERNER N,1979,1923.8
SCHNEEFERNER N,1990,-4245.8
SCHNEEFERNER N,1997,-4305.2
SCHNEEFERNER N,2006,-5115.266666666666
SCHNEEFERNER S,1949,-50160.0
SCHNEEFERNER S,1959,-5700.0
SCHNEEFERNER S,1971,-1200.0
SCHNEEFERNER S,1979,1748.0
SCHNEEFERNER S,1990,-4370.333333333333
SCHNEEFERNER S,1997,-2372.5454545454545
SCHNEEFERNER S,2006,-3002.7
SCHOENBUEHL GL.,1957,-9600.0
SCHWARZBERG,1932,-5030.0
SCHWARZBERG,1946,-1540.0
SCHWARZBERG,1956,-8085.0
SCHWARZBERG,1967,-660.0
SCHWARZBERG,1982,5190.0
SCHWARZBERG,1991,-5850.0
